Subject,Course Number,preq Subject,preq course,coreq subject,coreq course,preq Subject OR,preq course OR
MATH,3B,MATH,3A,null,null,null,null
MATH,6B,MATH,6A,null,null,null,null
MATH,8,null,null,MATH,8W,null,null
MATH,8W,null,null,MATH,8,null,null
MATH,10,null,null,null,null,null,null
MATH,12,null,null,null,null,null,null
MATH,15B,null,null,null,null,null,null
MATH,15C,null,null,null,null,null,null
MATH,15D,null,null,null,null,null,null
MATH,19,null,null,MATH,19W,null,null
MATH,19W,null,null,MATH,19,null,null
MATH,30,MATH,19,MATH,30W,null,null
MATH,30P,MATH,19,MATH,30W,null,null
MATH,30PL,MATH,19,null,null,null,null
MATH,30W,null,null,MATH,30,null,null
MATH,31,MATH,30,MATH,31W,MATH,30P
MATH,31W,MATH,31,null,null,null,null
MATH,32,MATH,31,null,null,null,null
MATH,32W,null,null,MATH,32,null,null
MATH,42,MATH,19,null,null,MATH,30
MATH,42W,null,null,MATH,42,null,null
MATH,70,null,null,null,null,null,null
MATH,71,MATH,8,MATH,71W,MATH,19
MATH,71W,null,null,MATH,71,null,null
MATH,102,null,null,null,null,null,null
MATH,104,MATH,42,null,null,null,null
MATH,104,MATH,115,null,null,null,null
MATH,105,MATH,12,null,null,null,null
MATH,106,MATH,12,null,null,null,null
MATH,106,MATH,105,null,null,null,null
MATH,108,MATH,31,null,null,null,null
MATH,108,MATH,42,null,null,null,null
MATH,112,MATH,32,null,null,null,null
MATH,123,MATH,31,null,null,null,null
MATH,123W,MATH,32,MATH,123,null,null
MATH,126,MATH,31,null,null,null,null
MATH,126,MATH,42,null,null,null,null
MATH,128B,MATH,128A,null,null,null,null
MATH,129A,MATH,31,null,null,null,null
MATH,131A,MATH,32,null,null,null,null
MATH,131A,MATH,108,null,null,null,null
MATH,133A,MATH,32,null,null,null,null
MATH,133B,MATH,131A,null,null,MATH,134
MATH,133W,null,null,MATH,133,null,null
MATH,138,MATH,32,null,null,null,null
MATH,143C,MATH,32,null,null,null,null
MATH,143C,CS,49J,null,null,CS,46A
MATH,161A,MATH,31,null,null,null,null
MATH,161B,MATH,161A,null,null,null,null
MATH,164,MATH,163,null,null,null,null
MATH,178,MATH,129A,null,null,null,null
MATH,201A,null,null,null,null,null,null
MATH,203,null,null,null,null,null,null
MATH,221B,MATH,221A,null,null,null,null
MATH,231A,MATH,131B,null,null,null,null
MATH,243M,MATH,143C,null,null,null,null
MATH,261B,MATH,261A,null,null,null,null
MATH,261B,MATH,164,null,null,null,null
MATH,263,MATH,161A,null,null,MATH,163
MATH,263,MATH,129A,null,null,null,null
MATH,267,MATH,129A,null,null,null,null
MATH,267,CS,46A,null,null,null,null
MATH,269,MATH,164,null,null,null,null
MATH,269,MATH,261B,null,null,null,null
MATH,279B,MATH,279A,null,null,null,null
MATH,285,null,null,null,null,null,null
MATH,297,null,null,null,null,null,null
MATH,298I,null,null,null,null,null,null
CS,40,null,null,null,null,null,null
CS,46A,null,null,null,null,null,null
CS,46B,CS,46A,null,null,CS,49J
CS,46B,CS,42,null,null,null,null
CS,49C,null,null,null,null,null,null
CS,49J,null,null,null,null,null,null
CS,100W,null,null,null,null,null,null
CS,108,null,null,null,null,null,null
CS,116B,CS,116A,null,null,null,null
CS,120A,null,null,null,null,null,null
CS,122,CS,146,null,null,null,null
CS,134,CS,146,null,null,null,null
CS,134,CS,151,null,null,null,null
CS,143C,MATH,32,null,null,null,null
CS,143C,CS,46A,null,null,CS,49J
CS,146,MATH,30,null,null,null,null
CS,146,MATH,42,null,null,null,null
CS,146,CS,49J,null,null,null,null
CS,146,CS,46B,null,null,null,null
CS,147,CS,47,null,null,null,null
CS,149,CS,146,null,null,null,null
CS,151,MATH,42,null,null,null,null
CS,151,CS,46B,null,null,null,null
CS,151,CS,49J,null,null,null,null
CS,152,CS,151,null,null,null,null
CS,154,MATH,42,null,null,null,null
CS,154,CS,46B,null,null,null,null
CS,157B,CS,157A,null,null,null,null
CS,158A,CS,146,null,null,null,null
CS,158A,CS,147,null,null,null,null
CS,159,CS,146,null,null,null,null
CS,160,CS,146,null,null,null,null
CS,160,CS,151,null,null,null,null
CS,160,CS,100W,null,null,null,null
CS,161,CS,160,null,null,null,null
CS,166,CS,146,null,null,null,null
CS,166,CS,47,null,null,null,null
CS,174,CS,46B,null,null,null,null
CS,180H,null,null,null,null,null,null
CS,185C,null,null,null,null,null,null
CS,200W,null,null,null,null,null,null
CS,218,CS,149,null,null,null,null
CS,223,CS,155,null,null,CS,123A
CS,251B,CS,160,null,null,null,null
CS,252,CS,152,null,null,null,null
CS,255,CS,155,null,null,null,null
CS,256,CS,156,null,null,null,null
CS,259,null,null,null,null,null,null
CS,265,CS,149,null,null,null,null
CS,267,CS,157B,null,null,null,null
CS,268,CS,158A,null,null,null,null
CS,274,CS,160,null,null,null,null
CS,286,null,null,null,null,null,null