Subject,Course Number,Course Name,Class,Section1,Section2,Days,StartTime,EndTime,Room,Instructor,Meeting Dates
MATH,3B,Intensive Learning Mathematics II,23718,01-SEM,Regular,MoTuWeTh,8:00 AM,8:50 AM,Duncan Hall 303,Staff,01/28/2016 - 05/16/2016
MATH,3B,Intensive Learning Mathematics II,28018,02-SEM,Regular,MoTuWeTh,9:00 AM,9:50 AM,Duncan Hall 303,Staff,01/28/2016 - 05/16/2016
MATH,3B,Intensive Learning Mathematics II,28019,03-SEM,Regular,MoTuWeTh,11:00 AM,11:50 AM,Duncan Hall 303,Staff,01/28/2016 - 05/16/2016
MATH,3B,Intensive Learning Mathematics II,28020,04-SEM,Regular,MoTuWeTh,12:00 PM,12:50 PM,Duncan Hall 303,Staff,01/28/2016 - 05/16/2016
MATH,3B,Intensive Learning Mathematics II,28021,05-SEM,Regular,MoTuWeTh,3:00 PM,3:50 PM,Duncan Hall 303,Staff,01/28/2016 - 05/16/2016
MATH,6B,Entry Level Mathematics II,23442,10-SEM,Regular,TuTh,8:00 AM,8:50 AM,Science Building 142,Staff,01/28/2016 - 05/16/2016
MATH,6B,Entry Level Mathematics II,21801,11-ACT,Regular,MoWe,8:00 AM,8:50 AM,Duncan Hall 181,Staff,01/28/2016 - 05/16/2016
MATH,6B,Entry Level Mathematics II,21802,12-ACT,Regular,MoWe,9:00 AM,9:50 AM,Duncan Hall 181,Staff,01/28/2016 - 05/16/2016
MATH,6B,Entry Level Mathematics II,25362,13-ACT,Regular,MoWe,11:00 AM,11:50 AM,Duncan Hall 181,Staff,01/28/2016 - 05/16/2016
MATH,6B,Entry Level Mathematics II,25363,14-ACT,Regular,MoWe,12:00 PM,12:50 PM,Duncan Hall 181,Staff,01/28/2016 - 05/16/2016
MATH,6B,Entry Level Mathematics II,25364,15-ACT,Regular,MoWe,2:00 PM,2:50 PM,Duncan Hall 181,Staff,01/28/2016 - 05/16/2016
MATH,6B,Entry Level Mathematics II,25370,16-ACT,Regular,MoWe,3:00 PM,3:50 PM,Duncan Hall 181,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,21806,01-SEM,Regular,MoWe,9:00 AM,10:15 AM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,21807,02-SEM,Regular,MoWe,10:30 AM,11:45 AM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,25330,03-SEM,Regular,MoWe,12:00 PM,1:15 PM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,21808,04-SEM,Regular,MoWe,1:30 PM,2:45 PM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,22962,05-SEM,Regular,MoWe,4:30 PM,5:45 PM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,28033,06-SEM,Regular,TuTh,9:00 AM,10:15 AM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,28034,07-SEM,Regular,TuTh,10:30 AM,11:45 AM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,28035,08-SEM,Regular,TuTh,12:00 PM,1:15 PM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,28036,09-SEM,Regular,TuTh,1:30 PM,2:45 PM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,28037,10-SEM,Regular,TuTh,3:00 PM,4:15 PM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,28038,11-SEM,Regular,TuTh,4:30 PM,5:45 PM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8,College Algebra,28039,12-SEM,Regular,TuTh,6:00 PM,7:15 PM,Duncan Hall 416,Staff,01/28/2016 - 05/16/2016
MATH,8W,College Algebra Workshop,22053,01-LAB,Regular,MoWe,10:30 AM,11:45 AM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,8W,College Algebra Workshop,22054,02-LAB,Regular,TuTh,4:30 PM,5:45 PM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,10,Mathematics for General Education,20273,01-SEM,Regular,MoWe,3:00 PM,4:15 PM,MacQuarrie Hall 323,Staff,01/28/2016 - 05/16/2016
MATH,10,Mathematics for General Education,20589,02-SEM,Regular,TuTh,9:00 AM,10:15 AM,Sweeney Hall 347,Staff,01/28/2016 - 05/16/2016
MATH,12,Number Systems,25582,01-SEM,Regular,MoWe,10:30 AM,11:45 AM,MacQuarrie Hall 425,Staff,01/28/2016 - 05/16/2016
MATH,12,Number Systems,28137,02-SEM,Regular,TuTh,10:30 AM,11:45 AM,MacQuarrie Hall 425,Staff,01/28/2016 - 05/16/2016
MATH,15B,Statway B: Statistics-Concepts & Methods,28935,01-LEC,Regular,MoTuWeTh,9:00 AM,9:25 AM,MacQuarrie Hall 235,Mokhtar Zoubeidi,01/28/2016 - 05/16/2016
MATH,15B,Statway B: Statistics-Concepts & Methods,28936,02-LEC,Regular,MoTuWeTh,12:00 PM,12:25 PM,MacQuarrie Hall 235,Mokhtar Zoubeidi,01/28/2016 - 05/16/2016
MATH,15C,Statway C: Statistics-Concepts & Methods,28659,01-LEC,Regular,MoTuWeTh,9:30 AM,10:15 AM,MacQuarrie Hall 235,Mokhtar Zoubeidi,01/28/2016 - 05/16/2016
MATH,15C,Statway C: Statistics-Concepts & Methods,28660,02-LEC,Regular,MoTuWeTh,12:30 PM,1:15 PM,MacQuarrie Hall 235,Mokhtar Zoubeidi,01/28/2016 - 05/16/2016
MATH,15D,Statway Algebra Review Activity,29071,01-ACT,Regular,Fr,9:00 AM,10:50 AM,MacQuarrie Hall 235,Staff,01/28/2016 - 05/16/2016
MATH,19,Precalculus,28061,02-SEM,Regular,MoWeFr,9:00 AM,10:20 AM,Sweeney Hall 347,Staff,01/28/2016 - 05/16/2016
MATH,19,Precalculus,28062,03-SEM,Regular,MoWeFr,12:00 PM,1:20 PM,Sweeney Hall 347,Staff,01/28/2016 - 05/16/2016
MATH,19,Precalculus,28064,05-SEM,Regular,MoTuWeTh,4:30 PM,5:35 PM,Duncan Hall 243,Staff,01/28/2016 - 05/16/2016
MATH,19,Precalculus,29360,07-SEM,Regular,MoWeFr,10:30 AM,11:50 AM,Science Building 164,Staff,01/28/2016 - 05/16/2016
MATH,19,Precalculus,29361,08-SEM,Regular,MoWeFr,1:30 PM,2:50 PM,Sweeney Hall 347,Staff,01/28/2016 - 05/16/2016
MATH,19W,Precalculus Workshop,22996,01-LAB,Regular,MoWe,9:00 AM,10:15 AM,Washington Square Hall 001C,Staff,01/28/2016 - 05/16/2016
MATH,19W,Precalculus Workshop,22136,02-LAB,Regular,MoWe,10:30 AM,11:45 AM,Washington Square Hall 001C,Staff,01/28/2016 - 05/16/2016
MATH,19W,Precalculus Workshop,22137,03-LAB,Regular,MoWe,1:30 PM,2:45 PM,Washington Square Hall 001C,Staff,01/28/2016 - 05/16/2016
MATH,19W,Precalculus Workshop,22138,04-LAB,Regular,MoWe,3:00 PM,4:15 PM,Washington Square Hall 001C,Staff,01/28/2016 - 05/16/2016
MATH,19W,Precalculus Workshop,22995,05-LAB,Regular,TuTh,9:00 AM,10:15 AM,Washington Square Hall 001C,Staff,01/28/2016 - 05/16/2016
MATH,19W,Precalculus Workshop,22139,06-LAB,Regular,TuTh,10:30 AM,11:45 AM,Washington Square Hall 001C,Staff,01/28/2016 - 05/16/2016
MATH,19W,Precalculus Workshop,22472,07-LAB,Regular,TuTh,3:00 PM,4:15 PM,Washington Square Hall 001C,Staff,01/28/2016 - 05/16/2016
MATH,19W,Precalculus Workshop,28220,08-LAB,Regular,TuTh,4:30 PM,5:45 PM,Washington Square Hall 001C,Staff,01/28/2016 - 05/16/2016
MATH,30,Calculus I,21411,01-SEM,Regular,MoWe,12:00 PM,1:15 PM,Washington Square Hall 109,Staff,01/28/2016 - 05/16/2016
MATH,30,Calculus I,21412,02-SEM,Regular,TuTh,10:30 AM,11:45 AM,Sweeney Hall 347,Staff,01/28/2016 - 05/16/2016
MATH,30,Calculus I,21413,03-SEM,Regular,TuTh,12:00 PM,1:15 PM,Sweeney Hall 347,Staff,01/28/2016 - 05/16/2016
MATH,30,Calculus I,21414,04-SEM,Regular,TuTh,1:30 PM,2:45 PM,Sweeney Hall 347,Staff,01/28/2016 - 05/16/2016
MATH,30P,Calculus I with Precalculus,25595,01-SEM,Regular,MoWeFr,7:30 AM,8:50 AM,Sweeney Hall 347,Staff,01/28/2016 - 05/16/2016
MATH,30P,Calculus I with Precalculus,23474,02-SEM,Regular,MoWeFr,12:00 PM,1:20 PM,MacQuarrie Hall 224,Staff,01/28/2016 - 05/16/2016
MATH,30P,Calculus I with Precalculus,28217,03-SEM,Regular,MoWeFr,9:00 AM,10:20 AM,Duncan Hall 243,Staff,01/28/2016 - 05/16/2016
MATH,30PL,Calculus I with Precalculus,28148,01-LEC,Regular,MoWeFr,10:30 AM,11:50 AM,Yoshihiro Uchida Hall 124,Staff,01/28/2016 - 05/16/2016
MATH,30PL,Calculus I with Precalculus,28149,11-ACT,Regular,MoWe,12:00 PM,1:15 PM,Duncan Hall 243,Staff,01/28/2016 - 05/16/2016
MATH,30PL,Calculus I with Precalculus,28150,12-ACT,Regular,MoWe,1:30 PM,2:45 PM,Duncan Hall 243,Staff,01/28/2016 - 05/16/2016
MATH,30PL,Calculus I with Precalculus,28151,13-ACT,Regular,MoWe,3:00 PM,4:15 PM,Duncan Hall 243,Staff,01/28/2016 - 05/16/2016
MATH,30PL,Calculus I with Precalculus,28152,14-ACT,Regular,TuTh,10:30 AM,11:45 AM,Duncan Hall 243,Staff,01/28/2016 - 05/16/2016
MATH,30PL,Calculus I with Precalculus,28153,15-ACT,Regular,TuTh,1:30 PM,2:45 PM,Duncan Hall 243,Staff,01/28/2016 - 05/16/2016
MATH,30PL,Calculus I with Precalculus,28158,16-ACT,Regular,TuTh,3:00 PM,4:15 PM,Duncan Hall 243,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,22060,01-LAB,Regular,MoWe,9:00 AM,10:15 AM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,22061,02-LAB,Regular,MoWe,12:00 PM,1:15 PM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,22062,03-LAB,Regular,MoWe,1:30 PM,2:45 PM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,22063,04-LAB,Regular,MoWe,3:00 PM,4:15 PM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,22064,05-LAB,Regular,MoWe,4:30 PM,5:45 PM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,22065,06-LAB,Regular,TuTh,9:00 AM,10:15 AM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,22066,07-LAB,Regular,TuTh,10:30 AM,11:45 AM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,23003,08-LAB,Regular,TuTh,12:00 PM,1:15 PM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,28207,09-LAB,Regular,TuTh,1:30 PM,2:45 PM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,28208,10-LAB,Regular,TuTh,3:00 PM,4:15 PM,Washington Square Hall 001D,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,28393,11-LAB,Regular,MoWe,3:00 PM,4:15 PM,Washington Square Hall 001B,Staff,01/28/2016 - 05/16/2016
MATH,30W,Calculus I Workshop,28394,12-LAB,Regular,TuTh,10:30 AM,11:45 AM,Washington Square Hall 001B,Staff,01/28/2016 - 05/16/2016
MATH,31,Calculus II,28480,01-SEM,Regular,MoTuWeTh,8:00 AM,8:50 AM,MacQuarrie Hall 224,Staff,01/28/2016 - 05/16/2016
MATH,31,Calculus II,25343,02-SEM,Regular,MoTuWeTh,9:00 AM,9:50 AM,MacQuarrie Hall 224,Staff,01/28/2016 - 05/16/2016
MATH,31,Calculus II,25344,03-SEM,Regular,MoTuWeTh,10:00 AM,10:50 AM,MacQuarrie Hall 224,Staff,01/28/2016 - 05/16/2016
MATH,31,Calculus II,25345,04-SEM,Regular,MoTuWeTh,11:00 AM,11:50 AM,MacQuarrie Hall 224,Staff,01/28/2016 - 05/16/2016
MATH,31,Calculus II,28081,05-SEM,Regular,MoWeFr,12:00 PM,1:07 PM,Yoshihiro Uchida Hall 124,Staff,01/28/2016 - 05/16/2016
MATH,31,Calculus II,28082,06-SEM,Regular,MoTuWeTh,1:30 PM,2:20 PM,MacQuarrie Hall 224,Staff,01/28/2016 - 05/16/2016
MATH,31,Calculus II,28083,07-SEM,Regular,MoTuWeTh,2:30 PM,3:20 PM,MacQuarrie Hall 224,Staff,01/28/2016 - 05/16/2016
MATH,31,Calculus II,28084,08-SEM,Regular,MoTuWeTh,3:30 PM,4:20 PM,MacQuarrie Hall 224,Staff,01/28/2016 - 05/16/2016
MATH,31,Calculus II,28085,09-SEM,Regular,MoTuWeTh,4:30 PM,5:20 PM,MacQuarrie Hall 224,Staff,01/28/2016 - 05/16/2016
MATH,31,Calculus II,28086,10-SEM,Regular,MoTuWeTh,5:30 PM,6:20 PM,MacQuarrie Hall 224,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22081,01-LAB,Regular,MoWe,9:00 AM,10:15 AM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22082,02-LAB,Regular,MoWe,10:30 AM,11:45 AM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22083,03-LAB,Regular,MoWe,12:00 PM,1:15 PM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22084,04-LAB,Regular,MoWe,1:30 PM,2:45 PM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22085,05-LAB,Regular,MoWe,3:00 PM,4:15 PM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22086,06-LAB,Regular,MoWe,4:30 PM,5:45 PM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22087,07-LAB,Regular,TuTh,7:30 AM,8:45 AM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22088,08-LAB,Regular,TuTh,9:00 AM,10:15 AM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22089,09-LAB,Regular,TuTh,10:30 AM,11:45 AM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22140,10-LAB,Regular,TuTh,12:00 PM,1:15 PM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22141,11-LAB,Regular,TuTh,1:30 PM,2:45 PM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,22142,12-LAB,Regular,TuTh,3:00 PM,4:15 PM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,23005,13-LAB,Regular,TuTh,4:30 PM,5:45 PM,Washington Square Hall 001E,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,28389,14-LAB,Regular,MoWe,9:00 AM,10:15 AM,MacQuarrie Hall 234,Staff,01/28/2016 - 05/16/2016
MATH,31W,Calculus II Workshop,28390,15-LAB,Regular,TuTh,9:00 AM,10:15 AM,MacQuarrie Hall 234,Staff,01/28/2016 - 05/16/2016
MATH,32,Calculus III,21034,01-SEM,Regular,MoWe,9:00 AM,10:15 AM,MacQuarrie Hall 423,Staff,01/28/2016 - 05/16/2016
MATH,32,Calculus III,21035,02-SEM,Regular,MoWe,10:30 AM,11:45 AM,MacQuarrie Hall 423,Staff,01/28/2016 - 05/16/2016
MATH,32,Calculus III,22225,03-SEM,Regular,MoWe,12:00 PM,1:15 PM,MacQuarrie Hall 423,Staff,01/28/2016 - 05/16/2016
MATH,32,Calculus III,20275,04-SEM,Regular,MoWe,1:30 PM,2:45 PM,MacQuarrie Hall 423,Staff,01/28/2016 - 05/16/2016
MATH,32,Calculus III,20276,05-SEM,Regular,MoWe,4:30 PM,5:45 PM,MacQuarrie Hall 423,Staff,01/28/2016 - 05/16/2016
MATH,32,Calculus III,21187,06-SEM,Regular,TuTh,9:00 AM,10:15 AM,MacQuarrie Hall 423,Staff,01/28/2016 - 05/16/2016
